city,house type,house_area,garden_area,rooms,balconies,air_condition,parking,protected_room,elevator,renovated,furniture,accessibility,bars,storage,price,rent price,cap rate
beer sheva,apartment,135.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1570000.0,3369,2.575
petah tikva,apartment,140.0,0.0,5.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3650000.0,8215,2.701
ramat gan,duplex,170.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5000000.0,10264,2.463
haifa,garden apartment,195.0,70.0,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2400000.0,6629,3.314
ashdod,apartment,104.0,0.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2250000.0,4897,2.612
rishon lezion,apartment,122.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3200000.0,7669,2.876
beer sheva,apartment,77.0,0.0,3.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,700000.0,2523,4.325
jerusalem,apartment,58.0,0.0,2.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11111111.0,4107,0.444
jerusalem,apartment,100.0,0.0,4.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,4600000.0,7583,1.978
haifa,apartment,84.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1400000.0,3762,3.225
tel aviv,apartment,80.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2980000.0,7704,3.102
haifa,garden apartment,135.0,90.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3260000.0,6484,2.387
ramat gan,apartment,67.0,0.0,2.5,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2390000.0,4844,2.432
ashkelon,dual family,310.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2950000.0,5954,2.422
petah tikva,apartment,73.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2300000.0,4170,2.176
natanya,apartment,106.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2300000.0,6062,3.163
beer sheva,apartment,54.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,615000.0,2165,4.224
haifa,garden apartment,286.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3300000.0,8728,3.174
beer sheva,apartment,84.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1000060.0,3188,3.825
tel aviv,apartment,75.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3750000.0,9168,2.934
ashdod,apartment,150.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3100000.0,7120,2.756
tel aviv,apartment,120.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6900000.0,11814,2.055
ashkelon,apartment,124.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2150000.0,4878,2.723
haifa,apartment,110.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2950000.0,5600,2.278
natanya,apartment,85.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1870000.0,5640,3.619
jerusalem,apartment,35.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1850000.0,4203,2.726
ashkelon,apartment,112.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1900000.0,4293,2.711
jerusalem,apartment,180.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4500000.0,8841,2.358
rishon lezion,apartment,105.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2850000.0,6941,2.923
rishon lezion,apartment,128.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2600000.0,6424,2.965
rishon lezion,apartment,80.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,4970,2.982
petah tikva,apartment,128.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3400000.0,7947,2.805
ashdod,apartment,100.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1750000.0,3712,2.545
haifa,apartment,120.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2950000.0,4158,1.691
jerusalem,apartment,217.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,11770000.0,14992,1.528
beer sheva,apartment,76.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1090000.0,2437,2.683
ramat gan,apartment,135.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3250000.0,8393,3.099
jerusalem,apartment,80.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2650000.0,5476,2.480
ashkelon,apartment,95.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1250000.0,4185,4.018
jerusalem,apartment,112.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2533000.0,9303,4.407
natanya,apartment,147.0,0.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4200000.0,9314,2.661
ashkelon,apartment,117.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2350000.0,4685,2.392
jerusalem,dual family,300.0,100.0,8.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5850000.0,10668,2.188
ashkelon,apartment,121.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1850000.0,4474,2.902
ashkelon,apartment,109.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1890000.0,4243,2.694
ashdod,apartment,187.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3700000.0,7251,2.352
petah tikva,apartment,100.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2430000.0,6345,3.133
beer sheva,apartment,96.0,0.0,4.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,960000.0,2211,2.764
jerusalem,penthouse,165.0,200.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6450000.0,10542,1.961
rishon lezion,apartment,75.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2480000.0,4863,2.353
beer sheva,apartment,43.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,660000.0,1792,3.258
ramat gan,apartment,120.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3200000.0,6302,2.363
beer sheva,apartment,99.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1200000.0,3752,3.752
ramat gan,apartment,50.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2050000.0,4786,2.802
natanya,apartment,127.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,4200000.0,8292,2.369
jerusalem,apartment,80.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4600000.0,6587,1.718
petah tikva,apartment,85.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2120000.0,5908,3.344
rishon lezion,apartment,85.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2100000.0,5403,3.087
ramat gan,apartment,72.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2250000.0,5728,3.055
tel aviv,apartment,88.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3900000.0,9343,2.875
ashkelon,apartment,97.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1299000.0,3698,3.416
ashkelon,apartment,122.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1750000.0,5148,3.530
petah tikva,apartment,93.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2480000.0,6356,3.075
natanya,apartment,148.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4250000.0,8564,2.418
ashkelon,penthouse,125.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1825000.0,5202,3.420
natanya,apartment,125.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2400000.0,6206,3.103
jerusalem,apartment,84.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2780000.0,6761,2.918
ashkelon,apartment,110.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1750000.0,4212,2.888
petah tikva,apartment,103.0,0.0,4.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2550000.0,5068,2.385
haifa,apartment,80.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,820000.0,3700,5.415
beer sheva,apartment,80.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,690000.0,2376,4.132
ramat gan,apartment,50.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2120000.0,5541,3.136
ramat gan,apartment,135.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4290000.0,8484,2.373
ashdod,apartment,102.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1850000.0,4124,2.675
ashkelon,penthouse,200.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650000.0,6114,2.769
jerusalem,apartment,132.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2790000.0,9934,4.273
ramat gan,apartment,109.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3400000.0,8823,3.114
natanya,apartment,145.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4800000.0,10359,2.590
